gene	p.value	FDR	summary.logFC	logFC.pre.ciliated	logFC.ciliated	logFC.secretory.mid	logFC.secretory.early	logFC.luminal.late	logFC.transcriptionally.active	logFC.luminal.early	logFC.MUC5B.	logFC.KRT5.	logFC.remodeling	logFC.cycling	logFC.hormone.responsive.early	logFC.hormone.responsive.late
AFAP1L2	0.999999997602341	1	-0.0274294543408431	NA	-0.000119050884976981	-0.0274294543408431	0.0315408447779365	0.00254418625270415	-0.00691369782007697	-0.0931996661314827	0	NA	-0.0160631609964658	-0.0611042580259238	-0.0368598007592405	-0.00678963346509269
FASN	0.999999997617113	1	-0.0289165133036312	NA	-0.0502519677959894	-0.0289165133036312	-0.0180492756966467	-0.0122798089192101	-0.0165849993134792	-0.00465061316164259	0	NA	0.0207302162161653	-0.0662422682535192	-0.0621315552707066	-0.0715634364209349
SKAP2	0.999999997626512	1	-0.124019009621537	NA	-0.056384663234085	-0.0124396191481602	-0.124019009621537	0.0158427486017504	0.0208301915698137	-0.0185849434682767	-0.855941723739495	NA	0.0135003979666441	-0.232195734145356	-0.0731409144330143	-0.106976325232464
DEPDC1B	0.999999997641679	1	-0.0719048199961411	NA	0.0993664724667612	-0.0719048199961411	-0.0091999063335078	0.0689247542106526	0.0138571902830978	0.0874477494172706	0.262676976736016	NA	0.0746462687618773	0.155906402645726	0.0873892319125552	0.174734418946868
UNC13B	0.999999997645201	1	-0.0331090987865177	NA	0.00524807595994609	-0.0331090987865177	-0.0545552026701855	0.0496814296652055	-0.0302082895441829	0.029852639402078	-0.252259029964894	NA	0.0294131036127195	0.0972252890680596	0.0472856461343025	0.0707686044389574
AKAP1	0.999999997669897	1	-0.0352139844659086	NA	-0.00072688748047111	-0.0352139844659086	-0.0833021747012882	-0.0888399343288357	-0.0104705823654232	-0.0116435130178855	0	NA	0.00341195863136373	-0.106449979795885	-0.094519384269505	-0.191727802284602
PEX6	0.999999997680254	1	-0.066041450905898	NA	-0.066041450905898	-0.00879228366521793	0.0141723342141546	-0.015580519991293	0.00627471467814487	0.00233301919483687	-0.464599183629121	NA	-0.0209016839459309	-0.0222772371359109	-0.00395589153768532	-0.0631173774989624
HMGB3	0.999999997687259	1	-0.152463994102377	NA	0.0270826637282503	0.0591209863085763	-0.152463994102377	-0.0509887533502575	0.181426536460022	0.0596566640966629	-0.61826970934778	NA	0.0881827861096815	-0.320704039548191	-0.136110077877621	-0.205454293964563
VPS11	0.999999997692617	1	-0.0313084691513089	NA	-0.0263434704823619	-0.0313084691513089	-0.0108112962315208	-0.016050967853794	-0.00219308829502172	-0.00362214559743143	0	NA	0.00607742244427281	-0.0418434851180976	-0.117170497745855	-0.0429905440388862
SEMA4D	0.999999997710866	1	-0.0335787042632869	NA	-0.000481081510681754	-0.0335787042632869	-0.0062554929753938	-0.0282212055770924	-0.0493623599641503	-0.00949469195728469	0	NA	-0.0274058116565592	-0.141566747317472	-0.0209025672777943	-0.0547572526289514
ZNF10	0.999999997736253	1	-0.0253942020295636	NA	-0.021194132881403	-0.0253942020295636	-0.00755712731837083	0.0169570115052363	-0.035592368170499	0.029074841546163	0	NA	-0.00160070903915446	0	-0.0161403932893268	-0.0273322371992238
HLCS	0.999999997739684	1	-0.0242746937209432	NA	-0.0140773133162019	-0.0242746937209432	-0.0184139952589367	-0.0400604778568777	-0.0437939879343154	-0.00302043488644496	0	NA	0.0018032642150311	0	-0.0188142043320497	-0.0219862896026561
ZNF143	0.999999997743432	1	-0.0429127347149872	NA	-0.0756221908441124	-0.0429127347149872	-0.0307977109333346	-0.0491437765031124	-0.0696016135828137	-0.0379387652480576	-0.269074782124114	NA	-0.0578509131967717	0.00298400332457116	-0.0485272534887356	-0.0128592662917776
NFATC3	0.999999997777199	1	-0.0159801236248528	NA	-0.0132277200093289	-0.0159801236248528	-0.0129820930270934	0.0103496623419564	-0.0117114073431968	-0.0489216548039505	0	NA	-0.00505687171150983	-0.0568111673358311	-0.0296057801147711	-0.0617273158943341
SIVA1	0.999999997807612	1	-0.104088368069868	NA	0.0756627606880852	0.167258099745886	-0.104088368069868	0.0288568251323082	0.351007595790853	0.0668758280166439	-0.269074782124114	NA	0.230337068005454	-0.446520481955304	-0.0171253560263774	-0.272762135485548
ADD3	0.999999997887232	1	-0.115842470719423	NA	-0.115842470719423	-0.0633803892872811	-0.0257447142440125	-0.0584096048670972	0.0371843948700297	0.0347409892603824	-0.013795196394682	NA	-0.0437361246322813	0.00298047558230309	-0.007104831412358	-0.0889946646177698
SOX5	0.999999997904385	1	-0.0637202551538859	NA	-0.0637202551538859	-0.0085285805343114	-0.105391602966143	-0.0435224325844309	-0.0020622194217014	-0.0961370470687005	-0.252259029964894	NA	-0.0222371586347607	-0.0307978217605275	-0.116644216535685	-0.0933299727889765
LY75	0.99999999790568	1	-0.0643114995320506	NA	-0.0643114995320506	-0.00360606637925235	-0.000554844336251312	-0.00815964259095792	-0.0147998959555218	0.00473986192209347	0	NA	0.00507081088458767	0	-0.025050131466469	-0.0497785687683141
CEP192	0.999999997911626	1	-0.0280840385879482	NA	-0.0347122866130105	-0.0280840385879482	-0.01751175504305	0.0016495500845982	-0.0300614613378021	-0.00428196157433162	0	NA	-0.0641616544904478	-0.0760092811840371	0.00079734495449676	-0.0298886033490774
KANK2	0.999999997921364	1	-0.1133795014724	NA	0.0167251002135179	-0.0170235430923949	-0.1133795014724	-0.0193651973333675	0.0173582700080246	0.010256402312325	0	NA	-0.0784747257243216	-0.0665719736307518	0.0180381025986926	-0.0396178067312909
HNRNPL	0.999999997932515	1	-0.190123615103047	NA	0.0437293725112432	-0.00837765377433633	-0.190123615103047	-0.0187983920617209	0.0621508743982632	0.0901862368628882	0	NA	0.0422828024338036	-0.128194464983968	0.043783985762442	-0.242792585562348
SEMA4A	0.999999997939937	1	-0.0434473574131756	NA	0.0138511070618715	-0.0434473574131756	0.0254132996916776	-0.0635999804493384	-0.0650297519002835	0.0269428507212714	0	NA	-0.145726497205635	-0.0156166674996354	-0.131799142857798	-0.111440344338143
GK	0.999999997946776	1	-0.0629348495494571	NA	-0.0629348495494571	-0.00085409541472891	0.000686215167388738	-0.00368614909217668	0.00135867766754603	0.00881637407372451	0	NA	0.0087462144740343	0	0.00355766203667615	0
DDHD1	0.999999997972441	1	-0.0271483050958238	NA	-0.0159384241706542	-0.0271483050958238	-0.0290905551694498	-0.0243459888620192	-0.0555741039016811	0.0115186054694845	0	NA	-0.0558527985808929	-0.015830139542794	-0.0439892575731722	-0.0862230928245989
FBRS	0.999999997973861	1	-0.051038760059831	NA	-0.0810597734269691	-0.051038760059831	0.103468467583634	0.0525316758860981	-0.00994546685120259	0.00600702897163912	0.429945837709531	NA	0.0625805390642221	0.152408513801158	0.142190123090714	0.160819315409311
ABCA12	0.999999998008282	1	-0.0120391175178189	NA	-0.0101498680434946	-0.0120391175178189	-0.00697210067353883	-0.0236359166599169	-0.0171293866809173	0.000496218508007006	0	NA	-0.113757236854564	0	-0.00183070769571475	-0.00725028667482895
WDR13	0.999999998026417	1	-0.150126300566587	NA	-0.150126300566587	0.011145501699034	0.101500988408273	0.0598078613132886	0.117379577411207	0.0768839479499382	0.517956562465449	NA	0.176087073541211	0.342181199147924	0.17248469731635	0.265118622428297
