term_name	p_value	term_size	query_size	intersection_size
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	0.0362892433542706	19	97	2
regulation of inflammatory response to antigenic stimulus	0.0362892433542706	19	97	2
positive regulation of macrophage colony-stimulating factor signaling pathway	0.0362892433542706	1	97	1
regulation of inorganic anion transmembrane transport	0.0362892433542706	1	97	1
regulation of immune response to tumor cell	0.0362892433542706	19	97	2
regulation of cyclic nucleotide-gated ion channel activity	0.0362892433542706	1	97	1
positive regulation of voltage-gated chloride channel activity	0.0362892433542706	1	97	1
negative regulation of glutamate receptor signaling pathway	0.0362892433542706	1	97	1
positive regulation of vitamin metabolic process	0.0362892433542706	1	97	1
indoleacetic acid metabolic process	0.0362892433542706	1	97	1
negative regulation of interleukin-1 alpha production	0.0362892433542706	1	97	1
positive regulation of calcium-independent cell-cell adhesion	0.0362892433542706	1	97	1
regulation of secretion	0.0362892433542706	352	97	7
positive regulation of DNA-binding transcription factor activity	0.0362892433542706	184	97	5
granulocyte differentiation	0.0362892433542706	19	97	2
positive regulation of transferase activity	0.0362892433542706	259	97	6
tryptophan catabolic process to indole-3-acetate	0.0362892433542706	1	97	1
negative regulation of natural killer cell degranulation	0.0362892433542706	1	97	1
positive regulation of vitamin D biosynthetic process	0.0362892433542706	1	97	1
positive regulation of macrophage tolerance induction	0.0362892433542706	1	97	1
negative regulation of response to cytokine stimulus	0.0362892433542706	58	97	3
positive regulation of apoptotic process	0.0362892433542706	347	97	7
myeloid leukocyte cytokine production	0.0362892433542706	19	97	2
positive regulation of viral process	0.0362892433542706	59	97	3
regulation of macrophage tolerance induction	0.0362892433542706	1	97	1
negative regulation of branching involved in lung morphogenesis	0.0362892433542706	1	97	1
positive regulation of macromolecule biosynthetic process	0.0362892433542706	1792	97	20
viral translational frameshifting	0.0362892433542706	1	97	1
interleukin-33 production	0.0362892433542706	1	97	1
blood microparticle formation	0.0362892433542706	1	97	1
positive regulation of mononuclear cell migration	0.0362892433542706	58	97	3
protein transport into plasma membrane raft	0.0362892433542706	1	97	1
macrophage tolerance induction	0.0362892433542706	1	97	1
tooth eruption	0.0362892433542706	1	97	1
positive regulation of mast cell proliferation	0.0362892433542706	1	97	1
auxin metabolic process	0.0362892433542706	1	97	1
cellular response to type I interferon	0.0362892433542706	58	97	3
regulation of MAPK cascade	0.0362892433542706	441	97	8
regulation of hormone secretion	0.0369039939473153	119	97	4
positive regulation of amyloid precursor protein catabolic process	0.0384901089885799	20	97	2
negative regulation of peptide secretion	0.0384901089885799	20	97	2
positive regulation of programmed cell death	0.0384901089885799	358	97	7
positive regulation of leukocyte apoptotic process	0.0384901089885799	20	97	2
regulation of response to tumor cell	0.0384901089885799	20	97	2
NAD biosynthetic process	0.0384901089885799	20	97	2
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.039540648860366	122	97	4
regulation of signal transduction	0.0401747682062578	2204	97	23
positive regulation of protein metabolic process	0.0406412996739066	869	97	12
microglial cell activation	0.0411854314141228	21	97	2
response to exogenous dsRNA	0.0411854314141228	21	97	2
negative regulation of extrinsic apoptotic signaling pathway	0.0411854314141228	64	97	3
nicotinamide nucleotide biosynthetic process	0.0411854314141228	21	97	2
immune response to tumor cell	0.0411854314141228	21	97	2
pyridine nucleotide biosynthetic process	0.0411854314141228	21	97	2
aromatic amino acid family catabolic process	0.0411854314141228	21	97	2
leukocyte activation involved in inflammatory response	0.0411854314141228	21	97	2
sensory perception of taste	0.04435645882667	22	97	2
positive regulation of viral life cycle	0.04435645882667	22	97	2
positive regulation of cell population proliferation	0.04435645882667	563	97	9
positive regulation of CD4-positive, alpha-beta T cell differentiation	0.04435645882667	22	97	2
response to ischemia	0.04435645882667	22	97	2
regulation of neuroinflammatory response	0.04435645882667	22	97	2
glial cell migration	0.04435645882667	22	97	2
intracellular signaling cassette	0.0448616786814073	1349	97	16
mononuclear cell differentiation	0.0469115014616443	286	97	6
odontogenesis of dentin-containing tooth	0.0478068518911569	23	97	2
regulation of insulin secretion involved in cellular response to glucose stimulus	0.0478068518911569	23	97	2
positive regulation of biosynthetic process	0.0478068518911569	1857	97	20
