term_name	p_value	term_size	query_size	intersection_size
regulation of circadian sleep/wake cycle, non-REM sleep	0.0497031714245241	2	99	1
dTMP biosynthetic process	0.0497031714245241	2	99	1
negative regulation of vascular associated smooth muscle cell apoptotic process	0.0497031714245241	2	99	1
dTMP metabolic process	0.0497031714245241	2	99	1
lateral attachment of mitotic spindle microtubules to kinetochore	0.0497031714245241	2	99	1
maintenance of mitotic sister chromatid cohesion, centromeric	0.0497031714245241	2	99	1
meiotic sister chromatid cohesion, centromeric	0.0497031714245241	2	99	1
regulation of reciprocal meiotic recombination	0.0497031714245241	2	99	1
negative regulation of cell differentiation involved in phenotypic switching	0.0497031714245241	2	99	1
regulation of cytokinetic process	0.0497031714245241	2	99	1
glycine biosynthetic process from serine	0.0497031714245241	2	99	1
regulation of maintenance of mitotic sister chromatid cohesion, centromeric	0.0497031714245241	2	99	1
homologous chromosome orientation in meiotic metaphase I	0.0497031714245241	2	99	1
positive regulation of reciprocal meiotic recombination	0.0497031714245241	2	99	1
circadian sleep/wake cycle, non-REM sleep	0.0497031714245241	2	99	1
negative regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching	0.0497031714245241	2	99	1
regulation of meiosis I spindle assembly checkpoint	0.0497031714245241	2	99	1
meiosis I spindle assembly checkpoint signaling	0.0497031714245241	2	99	1
negative regulation of meiosis I	0.0497031714245241	2	99	1
negative regulation of phenotypic switching	0.0497031714245241	2	99	1
regulation of mitotic cytokinetic process	0.0497031714245241	2	99	1
positive regulation of mitotic cytokinetic process	0.0497031714245241	2	99	1
positive regulation of DNA endoreduplication	0.0497031714245241	2	99	1
pteridine-containing compound metabolic process	0.0497031714245241	27	99	2
positive regulation of single strand break repair	0.0497031714245241	2	99	1
regulation of phenotypic switching	0.0497031714245241	2	99	1
negative regulation of nucleobase-containing compound metabolic process	0.0497031714245241	1137	99	14
negative regulation of adipose tissue development	0.0497031714245241	2	99	1
regulation of kinase activity	0.0497031714245241	393	99	7
chorion development	0.0497031714245241	2	99	1
glycine biosynthetic process	0.0497031714245241	2	99	1
chorionic trophoblast cell differentiation	0.0497031714245241	2	99	1
regulation of base-excision repair	0.0497031714245241	2	99	1
pyrimidine deoxyribonucleoside monophosphate biosynthetic process	0.0497031714245241	2	99	1
regulation of microtubule-based process	0.0497031714245241	219	99	5
regulation of microtubule cytoskeleton organization	0.0499200367262592	143	99	4
circadian rhythm	0.0499200367262592	143	99	4
