genes	logFC	logCPM	F	PValue	FDR	sig
CCN5	2.84203149982266	1.92134871880442	26.1429435183758	1.35390741958219e-06	0.000184448731114642	Up
KLF12	-0.827481434221752	2.43124152136284	26.5136068215535	1.42176921127683e-06	0.000192192337257716	Not Sig
DSC2	-0.874975115120639	5.42775720728148	26.4657428303377	1.44858331232941e-06	0.000194310736926156	Not Sig
SMOC2	-1.62699120804991	4.90271802089694	26.3934793559742	1.49171219602024e-06	0.000198568528810694	Not Sig
LINC01819	-2.42528394148982	-0.929577534369971	25.3114236703303	1.6224459679708e-06	0.000214334945374809	Down
HHEX	1.2884501909982	3.97999131647442	26.0971649498222	1.68257632045844e-06	0.000220607262226725	Not Sig
FAM241A	1.23269807790372	0.901637533907747	26.0193704530047	1.75891466734577e-06	0.000228895178874445	Not Sig
BCAM	-1.03600068491109	9.08718400924137	25.8696168527088	1.84455994111171e-06	0.000237199511794577	Not Sig
AHDC1	-0.648673236795464	5.98097572434698	25.8624666226985	1.84993311182833e-06	0.000237199511794577	Not Sig
PDZK1	2.56935352122652	-0.642609763555476	25.415358619376	2.04566873312208e-06	0.000260382272760459	Up
STX11	1.76160343962237	1.21002516974128	25.5519287116339	2.0774850916777e-06	0.000262515833541129	Not Sig
C11orf95	-0.648663651586991	4.24750160602024	25.5261050241229	2.12168599702002e-06	0.000265393377062663	Not Sig
GAL3ST2	-1.6764077757599	2.29278657551131	25.5213950963764	2.13069576721945e-06	0.000265393377062663	Not Sig
PRKD1	-1.09799456008298	2.2487887887108	25.3848715115321	2.24987402737271e-06	0.000278250377938478	Not Sig
C6orf15	1.55244696475242	1.60196035129494	25.0380881179473	2.29529941040218e-06	0.00028113227856043	Not Sig
GPR55	2.30432091930946	-0.733482305582149	24.8785878095224	2.30542010747456e-06	0.00028113227856043	Up
REPS2	1.45685428060625	2.80918514616435	25.3025812595189	2.32634167791316e-06	0.000281713515135068	Not Sig
SBK1	-0.723371753791193	5.08551094946079	25.218597276357	2.40550653216763e-06	0.000289291192468545	Not Sig
PGR	3.80771913296142	3.37524068208034	24.9244396013861	2.50226522694058e-06	0.000298866445393081	Up
GREB1	2.9541906321683	3.95192923844105	25.0196318059601	2.61976330208904e-06	0.000310771649400195	Up
GLIS2	-1.37867389872524	4.4177754352868	24.8244407878939	2.8275226765565e-06	0.000333150948876975	Not Sig
FRZB	-3.23387062259567	2.68796572303447	24.6821352276111	2.87212145350968e-06	0.00033613458997518	Down
MGLL	1.560909630281	6.13075308322231	24.7386904052026	2.92866593325245e-06	0.000340467176960374	Not Sig
TRIM31	2.14219650034973	1.45614756571097	24.5609392892186	3.16887096147206e-06	0.000365952131299005	Up
CEP68	-0.717157959643067	3.45178450824639	24.4971033541263	3.23531651658121e-06	0.000371167430369363	Not Sig
A1BG-AS1	2.04930838406957	1.81589634366796	24.2543892584212	3.2589111304061e-06	0.000371430668575304	Up
ROR2	-0.667377795515421	5.6966469071744	24.4490946328968	3.29939134045823e-06	0.00037360250775916	Not Sig
DIRAS3	2.08623984204216	-0.646920569746403	24.034924442466	3.32265620726337e-06	0.000373809541562959	Up
KCNG1	1.80061288637926	2.95254868965172	24.3930424924329	3.38113693857074e-06	0.000377950422658953	Not Sig
MEX3B	-1.20319882898421	0.0301205715018768	24.3495223993091	3.4376482774772e-06	0.000381819813137882	Not Sig
NGFR	-2.59275976383954	0.964986490101629	23.486861299881	3.83332686039013e-06	0.000423073125262551	Down
MFGE8	-0.991729151978934	8.1563397514962	24.0694350081686	3.85940972632473e-06	0.000423272873004093	Not Sig
