genes	logFC	logCPM	F	PValue	FDR	sig
BMP7	-1.62801028484237	6.32457187496296	85.0651780765911	7.83149658041179e-15	1.0753199792852e-12	Not Sig
SCNN1B	4.95121157240091	3.53777981471764	84.9080188232076	7.99969858723675e-15	1.08983393722058e-12	Up
LYPD1	-3.12246820290499	5.41797961815131	84.7559795681375	8.50899648630066e-15	1.15023163355125e-12	Down
THG1L	-1.19085737507895	4.46058457295925	84.5657558416144	8.94963536958036e-15	1.20049031980571e-12	Not Sig
CMIP	0.983609441842819	6.43847366477055	84.4956345812358	9.11593868040588e-15	1.21346365426655e-12	Not Sig
BGN	-3.14740376160204	0.384771330404717	79.0019103443422	9.59465549807284e-15	1.26751214072268e-12	Down
HNMT	-1.53841850739137	3.94111751451835	84.0510540600122	1.02749490400697e-14	1.34717715308823e-12	Not Sig
LINC00239	2.19414619230523	0.79723358651986	84.0622553850203	1.08297346743425e-14	1.40932024814317e-12	Up
MFSD2A	2.85830903350011	3.97406972746496	83.7642293755884	1.11007419236698e-14	1.43072896893887e-12	Up
ARID5A	2.12977578990403	4.13193967233552	83.7293942534674	1.12002871627339e-14	1.43072896893887e-12	Up
IL1B	3.24334301684391	4.61553563690324	83.7154291518698	1.12403870136842e-14	1.43072896893887e-12	Up
MEST	-1.3170023850061	6.20929961580696	83.5894347540855	1.16197732150562e-14	1.46830148785616e-12	Not Sig
FAM102A	1.36710598978929	5.95447165714138	83.4691615371131	1.20012157924185e-14	1.50559137401579e-12	Not Sig
ZNF512B	-1.15535745735071	5.88721778646867	82.7561518909777	1.45411712175872e-14	1.81120674065919e-12	Not Sig
GREB1L	3.80385740238346	1.50839711425308	82.8972783098413	1.48444049303649e-14	1.83586335585605e-12	Up
ECEL1P1	7.57260842214598	2.22795665382511	80.5212197490792	1.52873369552307e-14	1.87732804102333e-12	Up
SOX9	-1.36003513207031	6.10000351546384	82.5037293804503	1.55665962842715e-14	1.89825388814774e-12	Not Sig
