genes	logFC	logCPM	F	PValue	FDR
AGER	1.12366715073131	3.72160945695953	24.2012016689671	2.05033860231183e-05	6.89354595271447e-05
CHTF18	-1.01279644188581	5.79595469072684	24.1891239158151	2.05723481040077e-05	6.91482669142966e-05
GCLC	0.683853759386267	4.60771690258492	24.188879054927	2.05750876266173e-05	6.91482669142966e-05
MKKS	-0.487282504843478	4.37243603992265	24.1875137920069	2.05840936049742e-05	6.91644043904065e-05
CYP2W1	1.5578086373478	-0.551365849144774	23.0388207952087	2.06084349515473e-05	6.92320529687369e-05
DDIT3	1.1807998335215	4.40373041408555	24.1821793267237	2.06205266518205e-05	6.92585308185177e-05
FBXW2	-0.405529285862802	5.71577778873791	24.1676104581439	2.07085025603409e-05	6.95373307307302e-05
ANKRD39	0.55931998212676	4.09036553785914	24.1674606754327	2.07119883642683e-05	6.95373307307302e-05
CAPG	0.746333501466929	5.23810345812206	24.1646902282178	2.07275770517239e-05	6.95706398613773e-05
SENP2	-0.340730168395889	4.9818583701519	24.1642514925561	2.07303675521532e-05	6.95706398613773e-05
EPN2	0.421358350551429	5.38634981993495	24.1604639329122	2.07538715252653e-05	6.96353131678847e-05
ARC	1.27506045060787	-0.333269072850551	23.4785596490222	2.07633387218203e-05	6.9652872208945e-05
ALDOA	0.743521267829075	10.7691161407394	24.1566857507255	2.07778418484183e-05	6.96873142198428e-05
DHX36	-0.542048056761132	5.19016991608091	24.1516736540827	2.08105255358094e-05	6.97749256768471e-05
POGLUT1	-0.684633551463265	3.43245602182	24.1520684141098	2.08129491872301e-05	6.97749256768471e-05
SLC25A33	-0.669784824550586	3.74971747492727	24.1514424003937	2.08166880567726e-05	6.97749256768471e-05
VCL	-0.448369862015536	7.79638995022815	24.1498593607753	2.08213789538977e-05	6.97764320983032e-05
ERCC6L2	-0.481603501383477	3.69284159172736	24.1460936616401	2.08498052811434e-05	6.98574636822994e-05
L2HGDH	-0.678317071432903	3.37332073130484	24.1455128935642	2.08564649534091e-05	6.9865547739469e-05
NBN	-0.471042211376572	5.88863930290371	24.1434166682984	2.08626638604029e-05	6.98720853354007e-05
LEMD3	-0.630993140800466	4.28763121035748	24.136074641239	2.09128931911491e-05	7.00260545262759e-05
APH1B	0.637570351876497	3.67747900968658	24.1324396805887	2.09373664503391e-05	7.00937353428021e-05
FGF11	0.993440238214877	1.95655938336753	24.1495456864227	2.0958299620566e-05	7.01495395845231e-05
NOL6	-0.61279041114935	5.39021921306318	24.1160156388464	2.10397768727944e-05	7.04079270411597e-05
CCL20	1.85418761565467	6.76786641346941	24.116636105927	2.10751814241265e-05	7.0500744923471e-05
WDR38	1.40765037879084	5.45286258422309	24.1111808183509	2.10760843434217e-05	7.0500744923471e-05
CLDN3	0.601899419246655	9.04515581168561	24.1054898547375	2.11066900366947e-05	7.05887696266853e-05
PEDS1	0.476888125110813	6.88148813442305	24.104508064385	2.11130597797514e-05	7.05957208204655e-05
SLC20A1	0.668464243004042	6.20515241926806	24.0974701117644	2.11587306711233e-05	7.07340537026314e-05
TTC9C	0.405723708548554	4.41129589644841	24.0933264870269	2.11870713647491e-05	7.0806010034722e-05
PKD1P6	0.72737819637828	3.72271947089777	24.0935272370986	2.11888631329972e-05	7.0806010034722e-05
TMEM67	0.842363065489333	4.55324096325755	24.0843190087746	2.12458147414167e-05	7.09819046123165e-05
SOX12	0.505509343573339	5.94884445404929	24.0767624950826	2.12936915477617e-05	7.11274151578126e-05
